Minimum address;Maximum address;Segments;Segment sizes;Shared objects;Requested names;Average entropy;Maximum block entropy;Minimum block entropy;Median block entropy;Standard deviation block entropy;Packed;Packer
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac84a, filesize=0xac84a, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706634, 1296872];pakkero_nohup,extern-address space,cle##tls;set();7.451527249024564;7.709401765742095;4.7697796014997635;7.545020937355526;0.23443700952269725;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac88a, filesize=0xac88a, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706698, 1296872];pakkero_lnstat,extern-address space,cle##tls;set();7.451969816813421;7.6961581738453635;4.784747156733058;7.545422392193363;0.23270801344817402;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac86a, filesize=0xac86a, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706666, 1296872];pakkero_make,extern-address space,cle##tls;set();7.447817322176993;7.682397662990642;3.8521687236032816;7.542581576808906;0.24433469886638623;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xc0874, filesize=0xc0874, offset=0x0>, <ELFSegment flags=0x4, relro=0x0, vaddr=0x4c1000, memsize=0xf1885, filesize=0xf1885, offset=0xc1000>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x5b3000, memsize=0x369e8, filesize=0x17bb0, offset=0x1b3000>]>;[788596, 989317, 223720];pakkero_link,extern-address space,cle##tls;set();5.595711147706184;7.924806127714187;0.0;5.39145583055271;1.8341412043298635;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac852, filesize=0xac852, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706642, 1296872];pakkero_ico,extern-address space,cle##tls;set();7.451552555774376;7.691212726627318;4.785704627427732;7.541828044878974;0.233401789474067;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac81a, filesize=0xac81a, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706586, 1296872];pakkero_mandb,extern-address space,cle##tls;set();7.451844695037645;7.69770893071933;4.720049960644813;7.5450408041754935;0.23913643810296872;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac852, filesize=0xac852, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706642, 1296872];pakkero_paperconf,extern-address space,cle##tls;set();7.456040470530494;7.709156263751718;4.781798377427732;7.54889237225111;0.23025310519939515;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac842, filesize=0xac842, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706626, 1296872];pakkero_pldd,extern-address space,cle##tls;set();7.4558460610316235;7.6851201182703575;4.770565272106418;7.548417705373957;0.23037716397006291;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac83a, filesize=0xac83a, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706618, 1296872];pakkero_journalctl,extern-address space,cle##tls;set();7.453158304809838;7.685201844793729;4.780255757494134;7.54409967058442;0.23355049271416475;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xac85a, filesize=0xac85a, offset=0x0>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x4ad000, memsize=0x13c9e8, filesize=0x0, offset=0x0>]>;[706650, 1296872];pakkero_pinky,extern-address space,cle##tls;set();7.454899840279368;7.6964800430570435;4.782210320204061;7.548792867690871;0.23249909652385517;1;pakkero
4194304;6199783;<Regions: [<ELFSegment flags=0x5, relro=0x0, vaddr=0x400000, memsize=0xc0864, filesize=0xc0864, offset=0x0>, <ELFSegment flags=0x4, relro=0x0, vaddr=0x4c1000, memsize=0xf1835, filesize=0xf1835, offset=0xc1000>, <ELFSegment flags=0x6, relro=0x0, vaddr=0x5b3000, memsize=0x369e8, filesize=0x17bb0, offset=0x1b3000>]>;[788580, 989237, 223720];pakkero_pkcheck,extern-address space,cle##tls;set();5.559387031035125;7.924806127714187;0.0;5.362776748533183;1.8309024288518307;1;pakkero
